time(sec),ch1,ch2,ch3
6.328,-0.137,-0.137,-0.137
6.336,-0.137,-0.137,-0.137
6.344,-0.137,-0.137,-0.137
6.352,-0.137,-0.137,-0.137
6.359,-0.137,-0.137,-0.137
6.367,-0.137,-0.137,-0.137
6.375,-0.137,-0.137,-0.137
6.383,-0.137,-0.137,-0.137
6.391,-0.137,-0.137,-0.137
6.398,-0.137,-0.137,-0.137
6.406,-0.137,-0.137,-0.137
6.414,-0.137,-0.137,-0.137
6.422,-0.137,-0.137,-0.137
6.43,0.078,0.078,0.078
6.438,0.627,0.627,0.627
6.445,0.765,0.765,0.765
6.453,0.804,0.804,0.804
6.461,0.804,0.804,0.804
6.469,0.804,0.804,0.804
6.477,0.804,0.804,0.804
6.484,0.804,0.804,0.804
6.492,0.804,0.804,0.804
6.5,0.804,0.804,0.804
6.508,0.804,0.804,0.804
6.516,0.804,0.804,0.804
6.523,0.804,0.804,0.804
6.531,0.804,0.804,0.804
6.539,0.804,0.804,0.804
6.547,0.804,0.804,0.804
6.555,0.804,0.804,0.804
6.563,0.804,0.804,0.804
6.57,0.569,0.569,0.569
6.578,0.02,0.02,0.02
6.586,-0.098,-0.098,-0.098
6.594,-0.137,-0.137,-0.137
6.602,-0.137,-0.137,-0.137
6.609,-0.137,-0.137,-0.137
6.617,-0.137,-0.137,-0.137
6.625,-0.137,-0.137,-0.137
6.633,-0.137,-0.137,-0.137
6.641,-0.137,-0.137,-0.137
6.648,-0.137,-0.137,-0.137
6.656,-0.137,-0.137,-0.137
6.664,-0.137,-0.137,-0.137
6.672,-0.137,-0.137,-0.137
6.68,-0.137,-0.137,-0.137
6.688,-0.137,-0.137,-0.137
6.695,-0.137,-0.137,-0.137
6.703,-0.137,-0.137,-0.137
6.711,-0.137,-0.137,-0.137
6.719,-0.137,-0.137,-0.137
6.727,-0.137,-0.137,-0.137
6.734,-0.137,-0.137,-0.137
6.742,-0.137,-0.137,-0.137
6.75,-0.137,-0.137,-0.137
6.758,-0.137,-0.137,-0.137
6.766,-0.137,-0.137,-0.137
6.773,-0.137,-0.137,-0.137
6.781,-0.137,-0.137,-0.137
6.789,-0.137,-0.137,-0.137
6.797,-0.137,-0.137,-0.137
6.805,-0.137,-0.137,-0.137
6.813,-0.137,-0.137,-0.137
6.82,-0.137,-0.137,-0.137
6.828,-0.137,-0.137,-0.137
6.836,-0.137,-0.137,-0.137
6.844,-0.137,-0.137,-0.137
6.852,-0.137,-0.137,-0.137
6.859,-0.137,-0.137,-0.137
6.867,-0.137,-0.137,-0.137
6.875,-0.137,-0.137,-0.137
6.883,-0.137,-0.137,-0.137
6.891,-0.137,-0.137,-0.137
6.898,-0.137,-0.137,-0.137
6.906,-0.137,-0.137,-0.137
6.914,-0.137,-0.137,-0.137
6.922,-0.137,-0.137,-0.137
6.93,-0.137,-0.137,-0.137
6.938,-0.137,-0.137,-0.137
6.945,-0.137,-0.137,-0.137
6.953,-0.137,-0.137,-0.137
6.961,-0.137,-0.137,-0.137
6.969,-0.137,-0.137,-0.137
6.977,-0.137,-0.137,-0.137
6.984,-0.137,-0.137,-0.137
6.992,-0.137,-0.137,-0.137
7,-0.137,-0.137,-0.137
7.008,-0.137,-0.137,-0.137
7.016,-0.137,-0.137,-0.137
7.023,-0.137,-0.137,-0.137
7.031,-0.137,-0.137,-0.137
7.039,-0.137,-0.137,-0.137
7.047,-0.137,-0.137,-0.137
7.055,-0.137,-0.137,-0.137
7.063,-0.137,-0.137,-0.137
7.07,-0.137,-0.137,-0.137
7.078,-0.137,-0.137,-0.137
7.086,-0.137,-0.137,-0.137
7.094,-0.137,-0.137,-0.137
7.102,-0.137,-0.137,-0.137
7.109,-0.137,-0.137,-0.137
7.117,-0.137,-0.137,-0.137
7.125,-0.137,-0.137,-0.137
7.133,-0.137,-0.137,-0.137
7.141,-0.137,-0.137,-0.137
7.148,-0.137,-0.137,-0.137
7.156,-0.137,-0.137,-0.137
7.164,-0.137,-0.137,-0.137
7.172,-0.137,-0.137,-0.137
7.18,-0.137,-0.137,-0.137
7.188,-0.137,-0.137,-0.137
7.195,-0.137,-0.137,-0.137
7.203,-0.137,-0.137,-0.137
7.211,-0.137,-0.137,-0.137
7.219,-0.137,-0.137,-0.137
7.227,-0.137,-0.137,-0.137
7.234,-0.137,-0.137,-0.137
