time,CH1
1.204,-0.00201416
1.208,-0.0020752
1.212,-0.00219727
1.216,-0.00231934
1.22,-0.00238037
1.224,-0.0022583
1.228,-0.00268555
1.232,-0.00372314
1.236,-0.00396729
1.24,-0.00354004
1.244,-0.00268555
1.248,-0.00262451
1.252,-0.0045166
1.256,-0.00622559
1.26,-0.00177002
1.264,0.0187988
1.268,0.0637207
1.272,0.135925
1.276,0.232727
1.28,0.346802
1.284,0.45813
1.288,0.539124
1.292,0.553223
1.296,0.484009
1.3,0.339966
1.304,0.167969
1.308,0.0205078
1.312,-0.0686646
1.316,-0.0932617
1.32,-0.0725708
1.324,-0.0334473
1.328,0.0045166
1.332,0.0298462
1.336,0.039917
1.34,0.0384521
1.344,0.0324097
1.348,0.0261841
1.352,0.0229492
1.356,0.0232544
1.36,0.0250244
1.364,0.0273438
1.368,0.0284424
1.372,0.0285645
1.376,0.0284424
1.38,0.0270386
1.384,0.0274658
1.388,0.0290527
1.392,0.0316772
1.396,0.0354004
1.4,0.0385132
1.404,0.0396118
1.408,0.039856
1.412,0.0397949
1.416,0.0408325
1.42,0.0428467
1.424,0.0454712
1.428,0.0480957
1.432,0.0508423
1.436,0.0533447
1.44,0.0560913
1.444,0.059021
1.448,0.0605469
1.452,0.0620117
1.456,0.0635376
1.46,0.0664673
1.464,0.0690308
1.468,0.0718994
1.472,0.0752563
1.476,0.078125
1.48,0.0830688
1.484,0.0879517
1.488,0.0932617
1.492,0.0997314
1.496,0.105957
1.5,0.112
1.504,0.118713
1.508,0.125244
1.512,0.132141
1.516,0.139343
1.52,0.147034
1.524,0.155151
1.528,0.163757
1.532,0.174011
1.536,0.185059
1.54,0.196594
1.544,0.207458
1.548,0.215759
1.552,0.221191
1.556,0.224243
1.56,0.225952
1.564,0.226929
1.568,0.227173
1.572,0.22583
1.576,0.223083
1.58,0.218201
1.584,0.210815
1.588,0.200439
1.592,0.186829
1.596,0.169983
1.6,0.150818
1.604,0.129456
1.608,0.108582
1.612,0.088501
1.616,0.071106
1.62,0.0574951
1.624,0.0471802
1.628,0.038208
1.632,0.031311
1.636,0.0258179
1.64,0.0222168
1.644,0.0198975
1.648,0.0178223
1.652,0.0153198
1.656,0.0128174
1.66,0.0102539
1.664,0.0088501
1.668,0.00823975
1.672,0.0088501
1.676,0.0101318
1.68,0.0112915
1.684,0.0114746
1.688,0.010376
1.692,0.00964355
1.696,0.00939941
1.7,0.010437
1.704,0.0123901
1.708,0.013855
1.712,0.0144653
1.716,0.0141602
1.72,0.0141602
1.724,0.0145264
1.728,0.0160522
1.732,0.0186768
1.736,0.020752
1.74,0.0219727
1.744,0.0224609
1.748,0.0217896
1.752,0.020752
1.756,0.0215454
1.76,0.0234375
1.764,0.0244141
1.768,0.0230103
1.772,0.020874
1.776,0.020752
1.78,0.022644
1.784,0.0258179
1.788,0.0284424
1.792,0.0281982
1.796,0.0266113
1.8,0.0250244
1.804,0.0233154
1.808,0.0227051
1.812,0.0223999
1.816,0.0228882
1.82,0.0239868
1.824,0.0250854
1.828,0.0247803
1.832,0.0234985
1.836,0.0215454
1.84,0.0204468
1.844,0.0209351
1.848,0.0220337
1.852,0.0220337
1.856,0.020752
1.86,0.0188599
1.864,0.0172729
1.868,0.0172729
1.872,0.0198364
1.876,0.0217896
1.88,0.0224609
1.884,0.0218506
1.888,0.0205688
1.892,0.0202026
1.896,0.0215454
1.9,0.0221558
1.904,0.0214233
1.908,0.0202637
1.912,0.019104
1.916,0.019043
1.92,0.0198364
1.924,0.0206909
1.928,0.0202026
1.932,0.0192871
1.936,0.0180664
1.94,0.0174561
1.944,0.0178833
1.948,0.0184937
1.952,0.0184326
1.956,0.0178223
1.96,0.0170288
1.964,0.0162964
1.968,0.0166016
1.972,0.0168457
1.976,0.0170288
1.98,0.0158081
1.984,0.0153198
1.988,0.0153809
1.992,0.0159302
1.996,0.0157471
2,0.0142822
2.004,0.0117798
2.008,0.0098877
2.012,0.00952148
2.016,0.0115356
2.02,0.013855
2.024,0.015625
2.028,0.0155029
2.032,0.0140991
2.036,0.0113525
2.04,0.0098877
2.044,0.00952148
2.048,0.00927734
2.052,0.00915527
2.056,0.00848389
2.06,0.00891113
2.064,0.00958252
2.068,0.0105591
2.072,0.0115356
2.076,0.0105591
2.08,0.00897217
2.084,0.00842285
2.088,0.00994873
2.092,0.0111694
2.096,0.0125732
